Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090434,-,-,-,43.93,-78.9,0,157,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2008,1,1,0,30,-2.5,0,0,0,4,-4.5,0,0,0,0,86.19,118.34,0.71,996,0.7000000000000001,189,1.1,0.0000,0.0000
2008,1,1,1,30,-2.7,0,0,0,1,-4.6000000000000005,0,0,0,0,86.57000000000001,129.12,0.71,996,0.7000000000000001,150,1.2000000000000002,0.0000,0.0000
2008,1,1,2,30,-3.2,0,0,0,4,-4.800000000000001,0,0,0,0,88.69,139.71,0.71,995,0.7000000000000001,124,1.6,0.0000,0.0000
2008,1,1,3,30,-3.5,0,0,0,7,-5,0,0,0,0,89.56,149.45000000000002,0.71,995,0.8,115,1.9000000000000001,0.0000,0.0000
2008,1,1,4,30,-3,0,0,0,6,-4.6000000000000005,0,0,0,0,88.45,156.84,0.71,994,0.9,108,2.3000000000000003,0.0000,0.0000
2008,1,1,5,30,-2,0,0,0,6,-3.5,0,0,0,0,89.17,159,0.71,994,0.9,98,3,0.0000,0.0000
2008,1,1,6,30,-1.1,0,0,0,6,-2.3000000000000003,0,0,0,0,91.61,154.5,0.71,993,1,88,4.1000000000000005,0.0000,0.0000
2008,1,1,7,30,-0.7000000000000001,0,0,0,6,-1.5,0,0,0,0,94.2,145.96,0.71,991,1,79,5.2,0.0000,0.0000
2008,1,1,8,30,-0.6000000000000001,0,0,0,6,-1.3,0,0,0,0,94.71000000000001,135.79,0.71,989,1,72,6,0.0000,0.0000
2008,1,1,9,30,-0.8,0,0,0,6,-1.4000000000000001,0,0,0,0,95.98,125.07000000000001,0.71,988,1,67,6.800000000000001,0.0000,0.0000
2008,1,1,10,30,-0.9,0,0,0,6,-1.5,0,0,0,0,95.76,114.32000000000001,0.71,986,1.1,65,7.5,0.0000,0.0000
2008,1,1,11,30,-0.9,0,0,0,6,-1.6,0,0,0,0,94.8,103.85000000000001,0.71,984,1,65,7.7,0.0000,0.0000
2008,1,1,12,30,-0.9,0,0,0,6,-1.7000000000000002,0,0,0,0,94.32000000000001,93.97,0.71,984,1,68,6.800000000000001,0.0000,0.0000
2008,1,1,13,30,-0.8,39,227,59,7,-1.7000000000000002,21,0,7,21,93.87,84.83,0.71,983,0.9,67,5.300000000000001,0.0000,0.0000
2008,1,1,14,30,-0.7000000000000001,79,496,188,7,-1.7000000000000002,7,0,0,7,93.19,77.26,0.71,983,0.9,56,4.2,0.3364,0.2574
2008,1,1,15,30,-0.8,114,572,297,7,-1.9000000000000001,105,0,0,105,92.56,71.41,0.71,983,0.9,42,4,5.3068,4.1018
