Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090434,-,-,-,43.93,-78.9,0,157,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2020,1,1,0,30,-0.8,0,0,0,4,-3,0,0,0,0,84.9,118.33,0.68,981,0.7000000000000001,253,6.5,0.0000,0.0000
2020,1,1,1,30,-0.9,0,0,0,4,-3.2,0,0,0,0,84.48,129.11,0.68,981,0.7000000000000001,254,6.6000000000000005,0.0000,0.0000
2020,1,1,2,30,-1,0,0,0,4,-3.1,0,0,0,0,85.51,139.69,0.68,981,0.8,255,6.4,0.0000,0.0000
2020,1,1,3,30,-1.1,0,0,0,4,-3.1,0,0,0,0,86.53,149.43,0.68,981,0.8,255,6.4,0.0000,0.0000
2020,1,1,4,30,-1.1,0,0,0,0,-3,0,0,0,0,86.87,156.82,0.68,981,0.8,255,6.5,0.0000,0.0000
2020,1,1,5,30,-1.1,0,0,0,8,-2.9000000000000004,0,0,0,0,87.46000000000001,158.98,0.68,981,0.8,256,6.5,0.0000,0.0000
2020,1,1,6,30,-0.8,0,0,0,7,-2.8000000000000003,0,0,0,0,86.39,154.49,0.68,982,0.8,258,6.5,0.0000,0.0000
2020,1,1,7,30,-0.6000000000000001,0,0,0,8,-2.6,0,0,0,0,86.24,145.96,0.68,982,0.8,260,6.6000000000000005,0.0000,0.0000
2020,1,1,8,30,-0.6000000000000001,0,0,0,8,-2.5,0,0,0,0,86.86,135.79,0.68,982,0.9,261,6.5,0.0000,0.0000
2020,1,1,9,30,-0.7000000000000001,0,0,0,7,-2.6,0,0,0,0,86.81,125.08,0.68,983,0.9,263,6.6000000000000005,0.0000,0.0000
2020,1,1,10,30,-1,0,0,0,7,-3,0,0,0,0,86.42,114.32000000000001,0.68,983,0.8,265,6.5,0.0000,0.0000
2020,1,1,11,30,-1.3,0,0,0,4,-3.3000000000000003,0,0,0,0,86.32000000000001,103.86,0.68,984,0.8,267,6.300000000000001,0.0000,0.0000
2020,1,1,12,30,-1.4000000000000001,0,0,0,4,-3.6,0,0,0,0,85.05,93.97,0.68,984,0.8,269,6.1000000000000005,0.0000,0.0000
2020,1,1,13,30,-1.2000000000000002,31,416,68,4,-3.8000000000000003,28,3,100,28,82.71000000000001,84.83,0.68,985,0.7000000000000001,270,6.1000000000000005,0.0000,0.0000
2020,1,1,14,30,-0.8,53,684,204,4,-3.8000000000000003,84,86,100,103,80.23,77.26,0.68,986,0.7000000000000001,270,6.300000000000001,4.9496,3.7880
2020,1,1,15,30,-0.30000000000000004,67,798,321,4,-4,102,74,0,126,76.15,71.41,0.68,986,0.6000000000000001,270,6.6000000000000005,6.3681,4.9222
2020,1,1,16,30,0,77,839,393,4,-4.2,146,104,0,185,73.14,67.84,0.68,986,0.6000000000000001,269,6.6000000000000005,9.6496,7.4911
