Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090434,-,-,-,43.93,-78.9,0,157,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,30,2,0,0,0,6,2,0,0,0,0,100,118.29,0.13,985,2.6,88,5.5,0.0000,0.0000
2019,1,1,1,30,1.5,0,0,0,6,1.3,0,0,0,0,98.35000000000001,129.07,0.13,982,2.6,89,5.9,0.0000,0.0000
2019,1,1,2,30,1.6,0,0,0,7,0.9,0,0,0,0,95.17,139.66,0.13,980,2.4000000000000004,106,5.5,0.0000,0.0000
2019,1,1,3,30,2.5,0,0,0,7,1.5,0,0,0,0,93.19,149.4,0.13,977,2.2,152,3.8000000000000003,0.0000,0.0000
2019,1,1,4,30,3.8000000000000003,0,0,0,7,2.9000000000000004,0,0,0,0,93.92,156.79,0.13,976,2,205,3.9000000000000004,0.0000,0.0000
2019,1,1,5,30,5.300000000000001,0,0,0,8,4.7,0,0,0,0,95.76,158.96,0.13,975,1.9000000000000001,235,6.300000000000001,0.0000,0.0000
2019,1,1,6,30,5.4,0,0,0,0,5.4,0,0,0,0,100,154.49,0.13,976,1.8,250,7.9,0.0000,0.0000
2019,1,1,7,30,3.7,0,0,0,4,3.7,0,0,0,0,100,145.96,0.13,977,1.7000000000000002,271,7.6000000000000005,0.0000,0.0000
2019,1,1,8,30,1.4000000000000001,0,0,0,4,1.4000000000000001,0,0,0,0,100,135.8,0.13,980,1.5,302,7.6000000000000005,0.0000,0.0000
2019,1,1,9,30,-0.30000000000000004,0,0,0,4,-1,0,0,0,0,95.29,125.08,0.13,983,1.2000000000000002,321,7.4,0.0000,0.0000
2019,1,1,10,30,-0.9,0,0,0,4,-2.4000000000000004,0,0,0,0,89.49,114.33,0.13,987,1.1,318,6.800000000000001,0.0000,0.0000
2019,1,1,11,30,-1.2000000000000002,0,0,0,4,-2.9000000000000004,0,0,0,0,88.06,103.86,0.13,991,1.1,314,6.7,0.0000,0.0000
2019,1,1,12,30,-1.6,0,0,0,4,-3.5,0,0,0,0,87.01,93.97,0.13,994,1,315,6.800000000000001,0.0000,0.0000
2019,1,1,13,30,-1.8,33,347,64,4,-4.4,16,0,100,16,82.7,84.83,0.13,996,1,318,6.800000000000001,0.0000,0.0000
2019,1,1,14,30,-1.6,56,624,194,4,-5.2,55,147,42,87,76.69,77.25,0.13,998,0.9,321,6.5,4.1810,3.1998
